name,seed,encoder_hidden,latent_dim,noise_sigma,epochs,best_val_loss,final_train_loss
V2_8D,3,"[64, 32]",8,0.0,91,0.015134607595251426,0.04543094944409014
V3_3D_sigma0,3,"[32, 16]",3,0.0,158,0.014617271149366487,0.008659965360848357
V3_3D_sigma001,3,"[32, 16]",3,0.01,149,0.01566049327090599,0.011718466889027399
V3_3D_sigma005,3,"[32, 16]",3,0.05,119,0.017982809774150517,0.013496095168874726
V3_3D_sigma010,3,"[32, 16]",3,0.1,108,0.018461515363489545,0.012486739661194547
V3_8D_sigma005,3,"[32, 16]",8,0.05,200,0.0029613686208478807,0.0011038495618920698
V2_8D,7,"[64, 32]",8,0.0,127,0.006212317960812519,0.0017913457431904724
V3_3D_sigma0,7,"[32, 16]",3,0.0,124,0.025882397724046876,0.011430771531671201
V3_3D_sigma001,7,"[32, 16]",3,0.01,168,0.018685296808968292,0.006954922959558962
V3_3D_sigma005,7,"[32, 16]",3,0.05,120,0.0189318435144412,0.008037343430141744
V3_3D_sigma010,7,"[32, 16]",3,0.1,113,0.01842432287105282,0.009752073488642451
V3_8D_sigma005,7,"[32, 16]",8,0.05,136,0.006078278801015796,0.0029354108852974767
V2_8D,11,"[64, 32]",8,0.0,79,0.016147030187405927,0.02934189353851872
V3_3D_sigma0,11,"[32, 16]",3,0.0,99,0.015157116070233867,0.009381282992184782
V3_3D_sigma001,11,"[32, 16]",3,0.01,83,0.018090959768523804,0.010075228681151854
V3_3D_sigma005,11,"[32, 16]",3,0.05,88,0.015434532425705522,0.00982633616180804
V3_3D_sigma010,11,"[32, 16]",3,0.1,88,0.016324846786995542,0.010889805658388924
V3_8D_sigma005,11,"[32, 16]",8,0.05,183,0.0032061615018697024,0.0017530172278960674
V2_8D,19,"[64, 32]",8,0.0,164,0.004124709007248256,0.001854086676557308
V3_3D_sigma0,19,"[32, 16]",3,0.0,200,0.009163923305832352,0.005348171980525548
V3_3D_sigma001,19,"[32, 16]",3,0.01,190,0.00913988328786583,0.004795922185034136
V3_3D_sigma005,19,"[32, 16]",3,0.05,200,0.009900733760282566,0.005036641882548796
V3_3D_sigma010,19,"[32, 16]",3,0.1,111,0.013229391829450671,0.009493319392404083
V3_8D_sigma005,19,"[32, 16]",8,0.05,148,0.007431374201624761,0.0025613683574924745
V2_8D,23,"[64, 32]",8,0.0,139,0.005650983164752423,0.005168627997293517
V3_3D_sigma0,23,"[32, 16]",3,0.0,52,0.02728301619349144,0.0146040022720114
V3_3D_sigma001,23,"[32, 16]",3,0.01,146,0.012739292610243036,0.010375841548324992
V3_3D_sigma005,23,"[32, 16]",3,0.05,98,0.017273674558824875,0.009340962209254181
V3_3D_sigma010,23,"[32, 16]",3,0.1,72,0.02095218953785929,0.01168105701753144
V3_8D_sigma005,23,"[32, 16]",8,0.05,144,0.00466366317702642,0.0018088490234558262
V2_8D,31,"[64, 32]",8,0.0,124,0.005813292454432825,0.01226561312604729
V3_3D_sigma0,31,"[32, 16]",3,0.0,200,0.012922372082064837,0.005930267618561698
V3_3D_sigma001,31,"[32, 16]",3,0.01,200,0.009941305840245796,0.003898206421574223
V3_3D_sigma005,31,"[32, 16]",3,0.05,159,0.012096272388256122,0.005528640114419186
V3_3D_sigma010,31,"[32, 16]",3,0.1,163,0.011861251337068597,0.006593057088770042
V3_8D_sigma005,31,"[32, 16]",8,0.05,140,0.00593471353532313,0.0024908920075002662
V2_8D,42,"[64, 32]",8,0.0,168,0.004721112713417992,0.0009886199766253767
V3_3D_sigma0,42,"[32, 16]",3,0.0,153,0.02639716231629217,0.011416255961659834
V3_3D_sigma001,42,"[32, 16]",3,0.01,200,0.034527343327056426,0.01101990038461663
V3_3D_sigma005,42,"[32, 16]",3,0.05,145,0.03426078665253511,0.015365821125611027
V3_3D_sigma010,42,"[32, 16]",3,0.1,117,0.026703045520051306,0.01771286202522923
V3_8D_sigma005,42,"[32, 16]",8,0.05,151,0.004265471238386759,0.002163911843750943
V2_8D,53,"[64, 32]",8,0.0,124,0.005663054086585295,0.006997534478026769
V3_3D_sigma0,53,"[32, 16]",3,0.0,200,0.01123936294212823,0.004907063317184121
V3_3D_sigma001,53,"[32, 16]",3,0.01,103,0.019166497253941425,0.009632236054195057
V3_3D_sigma005,53,"[32, 16]",3,0.05,200,0.011864315881647741,0.00511106265804794
V3_3D_sigma010,53,"[32, 16]",3,0.1,112,0.020893045191703895,0.009354900940790027
V3_8D_sigma005,53,"[32, 16]",8,0.05,99,0.01076921255367373,0.004124508495719431
V2_8D,71,"[64, 32]",8,0.0,92,0.010334518275293653,0.0028268493659944654
V3_3D_sigma0,71,"[32, 16]",3,0.0,170,0.009420083173843,0.006246132185083808
V3_3D_sigma001,71,"[32, 16]",3,0.01,143,0.012974773068144253,0.005937388749565516
V3_3D_sigma005,71,"[32, 16]",3,0.05,132,0.011995752561788387,0.006076298258650341
V3_3D_sigma010,71,"[32, 16]",3,0.1,111,0.014235011122722652,0.00721396493374085
V3_8D_sigma005,71,"[32, 16]",8,0.05,152,0.0042810050544702565,0.0021371046762185533
V2_8D,97,"[64, 32]",8,0.0,81,0.011546640346925135,0.0035736857154045677
V3_3D_sigma0,97,"[32, 16]",3,0.0,89,0.020943591698272517,0.011087835852923597
V3_3D_sigma001,97,"[32, 16]",3,0.01,106,0.017964532041159775,0.0096552576491654
