method,seed,task,accuracy,balanced_accuracy,macro_f1,auroc,auprc
Majority,3,binary,0.7649122807017544,0.5,0.43339960238568587,0.5,0.23508771929824562
Majority,3,4class,0.7649122807017544,0.25,0.21669980119284293,,
StratifiedRandom,3,binary,0.5701754385964912,0.45799671367930983,0.4583409291014239,0.5,0.23508771929824562
StratifiedRandom,3,4class,0.5368421052631579,0.21492283145653707,0.21230074126320655,,
OpticalOnly,3,binary,0.7824561403508772,0.5528207585923592,0.5395559724828017,0.5692694782965906,0.3369534185395525
OpticalOnly,3,4class,0.4649122807017544,0.3705796845754963,0.31426952141057934,,
WirelessSemanticOnly_V3,3,binary,0.5842105263157895,0.5627995344379022,0.5303683978154082,0.6013795700397098,0.3518821836066859
WirelessSemanticOnly_V3,3,4class,0.42280701754385963,0.3275060599552024,0.25363016564281055,,
RawWirelessPlusOptical,3,binary,0.756140350877193,0.6079864439271532,0.617709926610728,0.7209708339038752,0.4249555406331743
RawWirelessPlusOptical,3,4class,0.7070175438596491,0.4619634254855635,0.4106482525870576,,
V1PlusOptical,3,binary,0.7684210526315789,0.6366904012049843,0.6473301334933254,0.7101704778858005,0.4491511720316682
V1PlusOptical,3,4class,0.6508771929824562,0.4143026449019668,0.37605117091506046,,
V2PlusOptical,3,binary,0.7666666666666667,0.6277899493358894,0.638963896389639,0.6749452279884978,0.4245723892829152
V2PlusOptical,3,4class,0.6210526315789474,0.3955006750329846,0.3571467854589451,,
V3PlusOptical,3,binary,0.7736842105263158,0.6478844310557306,0.6585383975963481,0.7017321648637546,0.44292339780880186
V3PlusOptical,3,4class,0.6859649122807018,0.42577053481022364,0.3904353190118467,,
PCA3PlusOptical,3,binary,0.7736842105263158,0.585855128029577,0.5943373846264186,0.650931124195536,0.40756301689159447
PCA3PlusOptical,3,4class,0.6175438596491228,0.4359213433156393,0.376275111472112,,
V3NoNoisePlusOptical,3,binary,0.7736842105263158,0.6349616595919485,0.6475392941199027,0.700465562097768,0.4554706275136041
V3NoNoisePlusOptical,3,4class,0.6666666666666666,0.43652005154797335,0.38744402042274384,,
V3_8DPlusOptical,3,binary,0.7684210526315789,0.6341058469122278,0.6451010358295126,0.7134396823223332,0.45469595838559157
V3_8DPlusOptical,3,4class,0.6526315789473685,0.4212781135896413,0.3803957967593721,,
Majority,7,binary,0.7649122807017544,0.5,0.43339960238568587,0.5,0.23508771929824562
Majority,7,4class,0.7649122807017544,0.25,0.21669980119284293,,
StratifiedRandom,7,binary,0.5982456140350877,0.49960632616732853,0.49573306651316784,0.5,0.23508771929824562
StratifiedRandom,7,4class,0.5596491228070175,0.271472824808485,0.26164161850245354,,
OpticalOnly,7,binary,0.7789473684210526,0.5479426263179515,0.5321294559099438,0.5696460358756675,0.33804610282214576
OpticalOnly,7,4class,0.44912280701754387,0.39047858304439875,0.32075849831388115,,
WirelessSemanticOnly_V3,7,binary,0.6263157894736842,0.5929070245104751,0.5643312101910828,0.6236221415856498,0.39544281660015146
WirelessSemanticOnly_V3,7,4class,0.387719298245614,0.29683194747016045,0.23092324828497968,,
RawWirelessPlusOptical,7,binary,0.7631578947368421,0.625496371354238,0.635879260496567,0.7254381760920171,0.4221006587855113
RawWirelessPlusOptical,7,4class,0.7017543859649122,0.4554416863551287,0.4051070090582361,,
V1PlusOptical,7,binary,0.7701754385964912,0.6404217444885664,0.65109270084248,0.7015952348349994,0.44954640719692257
