method,task,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,auroc_mean,auroc_std,auroc_ci95,auprc_mean,auprc_std,auprc_ci95
Majority,4class,10,0.7649122807017543,1.1702778228589004e-16,7.253457094217689e-17,0.25,0.0,0.0,0.21669980119284293,0.0,0.0,,0.0,0.0,,0.0,0.0
Majority,binary,10,0.7649122807017543,1.1702778228589004e-16,7.253457094217689e-17,0.5,0.0,0.0,0.43339960238568587,0.0,0.0,0.5,0.0,0.0,0.2350877192982456,2.925694557147251e-17,1.8133642735544223e-17
OpticalOnly,4class,10,0.4563157894736841,0.015526288256712852,0.009623293161909388,0.3881983267364201,0.020794568143658782,0.012888606865534075,0.3284523796569822,0.028495403156899194,0.01766163385682855,,0.0,0.0,,0.0,0.0
OpticalOnly,binary,10,0.7817543859649122,0.0020592768259250368,0.0012763530001341377,0.552362042996029,0.003515711635484413,0.002179060647439333,0.5390347986693225,0.005770233443026376,0.0035764277409244005,0.5728211009174312,0.004447527843777063,0.002756606316897197,0.3432073490466017,0.004076593972699685,0.0025266991216912737
PCA3PlusOptical,4class,10,0.6229824561403509,0.026944408747473596,0.016700317562321917,0.443671067165782,0.011014920095468263,0.006827118206302051,0.382943114189027,0.0072148608717239465,0.004471817097751616,,0.0,0.0,,0.0,0.0
PCA3PlusOptical,binary,10,0.7728070175438597,0.005744702545142821,0.0035606035264722437,0.5806295358072026,0.009909603130433788,0.006142035653699059,0.5872038299308824,0.013094232646269324,0.008115889477371612,0.6435950979049705,0.00796544256564113,0.004937032451421524,0.39521326493206455,0.008746047320168116,0.005420856290847258
RawWirelessPlusOptical,4class,10,0.7045614035087719,0.007360062092422138,0.004561813746734458,0.4678233638120954,0.0122721309506588,0.007606345567394135,0.41610209136803994,0.008166907583152671,0.00506190176296123,,0.0,0.0,,0.0,0.0
RawWirelessPlusOptical,binary,10,0.7598245614035088,0.0037399478258057384,0.0023180436781091943,0.6233174722716692,0.006869247526238174,0.004257603726900416,0.6329160612103897,0.007113882873762395,0.004409230286195637,0.7235382719430372,0.004393675582093174,0.002723228339298986,0.42952325933743507,0.008043203887840165,0.004985229418256496
StratifiedRandom,4class,10,0.5650877192982456,0.017078626734180775,0.010585442518419445,0.24901106389289476,0.021677383700608618,0.013435781616637225,0.24266059706709658,0.01631656632574537,0.010113112583781805,,0.0,0.0,,0.0,0.0
StratifiedRandom,binary,10,0.6035087719298247,0.01864020754445524,0.011553320332151645,0.5100249897302479,0.02652351020374752,0.016439441942165532,0.5046089465912708,0.023684290987188675,0.01467967563999995,0.5,0.0,0.0,0.2350877192982456,2.925694557147251e-17,1.8133642735544223e-17
V1PlusOptical,4class,10,0.6636842105263159,0.006301152630199263,0.003905494862374909,0.4216894618146115,0.008975609036458814,0.005563140116710231,0.38230385430009217,0.0053264057216904715,0.003301340469248183,,0.0,0.0,,0.0,0.0
V1PlusOptical,binary,10,0.7659649122807017,0.0032243388893777886,0.0019984659483835345,0.6356018074763796,0.006638783628479581,0.00411476072317038,0.6455218667088138,0.0064899956301023905,0.004022540966349986,0.7029867862522252,0.003556494547424988,0.002204338158143207,0.440237781568208,0.008827112462902216,0.005471100986864993
