split,target,label,count,fraction
train,service_risk_next,0,1153,0.6790341578327445
train,service_risk_next,1,545,0.3209658421672556
train,degradation_class_next,0,1153,0.6790341578327445
train,degradation_class_next,1,290,0.1707891637220259
train,degradation_class_next,2,220,0.12956419316843346
train,degradation_class_next,3,35,0.02061248527679623
train,dominant_cpe,CPE1,483,0.284452296819788
train,dominant_cpe,CPE2,491,0.28916372202591284
train,dominant_cpe,CPE3,417,0.24558303886925795
train,dominant_cpe,CPE4,307,0.18080094228504123
train,dominant_rat,5G,1,0.0005889281507656066
train,dominant_rat,LiFi,20,0.011778563015312132
train,dominant_rat,WiFi,1677,0.9876325088339223
validation,service_risk_next,0,410,0.7321428571428571
validation,service_risk_next,1,150,0.26785714285714285
validation,degradation_class_next,0,410,0.7321428571428571
validation,degradation_class_next,1,116,0.20714285714285716
validation,degradation_class_next,2,24,0.04285714285714286
validation,degradation_class_next,3,10,0.017857142857142856
validation,dominant_cpe,CPE1,150,0.26785714285714285
validation,dominant_cpe,CPE2,159,0.2839285714285714
validation,dominant_cpe,CPE3,160,0.2857142857142857
validation,dominant_cpe,CPE4,91,0.1625
validation,dominant_rat,LiFi,7,0.0125
validation,dominant_rat,WiFi,553,0.9875
test,service_risk_next,0,436,0.7649122807017544
test,service_risk_next,1,134,0.23508771929824562
test,degradation_class_next,0,436,0.7649122807017544
test,degradation_class_next,1,115,0.20175438596491227
test,degradation_class_next,2,13,0.02280701754385965
test,degradation_class_next,3,6,0.010526315789473684
test,dominant_cpe,CPE1,157,0.2754385964912281
test,dominant_cpe,CPE2,187,0.3280701754385965
test,dominant_cpe,CPE3,143,0.25087719298245614
test,dominant_cpe,CPE4,83,0.1456140350877193
test,dominant_rat,LiFi,11,0.01929824561403509
test,dominant_rat,WiFi,559,0.980701754385965
