representation,attacker,target,seed,test_samples,unseen_test_labels,accuracy,balanced_accuracy,macro_f1
Majority,Baseline,dominant_cpe,3,570,0,0.3280701754385965,0.25,0.12351387054161163
StratifiedRandom,Baseline,dominant_cpe,3,570,0,0.25263157894736843,0.24011347998717483,0.24001679491091052
RawPrivate,LogisticRegression,dominant_cpe,3,570,0,0.16140350877192983,0.2627389876641661,0.09907871924270195
RawPrivate,RandomForest,dominant_cpe,3,570,0,0.21578947368421053,0.2793456470175335,0.20196595899579625
RawPrivate,MLP,dominant_cpe,3,570,0,0.18421052631578946,0.277488764333483,0.14098625612694646
RawPrivate,GradientBoosting,dominant_cpe,3,570,0,0.2754385964912281,0.307306563303575,0.275721436677319
V1,LogisticRegression,dominant_cpe,3,570,0,0.1543859649122807,0.2570097771156784,0.08413500797748716
V1,RandomForest,dominant_cpe,3,570,0,0.24385964912280703,0.29504783249360655,0.22698853032743815
V1,MLP,dominant_cpe,3,570,0,0.34035087719298246,0.2729959577138476,0.20958156316974433
V1,GradientBoosting,dominant_cpe,3,570,0,0.25263157894736843,0.2733115043420334,0.248085635018933
V2,LogisticRegression,dominant_cpe,3,570,0,0.18596491228070175,0.2789252259610274,0.14623368253174157
V2,RandomForest,dominant_cpe,3,570,0,0.18771929824561404,0.2783878480960552,0.14952295026026477
V2,MLP,dominant_cpe,3,570,0,0.24035087719298245,0.24660708456476016,0.22047192892906167
V2,GradientBoosting,dominant_cpe,3,570,0,0.2578947368421053,0.26359925155218733,0.25703034318504936
V3_sigma005,LogisticRegression,dominant_cpe,3,570,0,0.17017543859649123,0.2609188256298992,0.12420442024758571
V3_sigma005,RandomForest,dominant_cpe,3,570,0,0.19473684210526315,0.21621264591308875,0.1910669818380998
V3_sigma005,MLP,dominant_cpe,3,570,0,0.2929824561403509,0.23724804607157546,0.1695736434108527
V3_sigma005,GradientBoosting,dominant_cpe,3,570,0,0.2596491228070175,0.25503486433531075,0.24592280599670813
PCA3,LogisticRegression,dominant_cpe,3,570,0,0.156140350877193,0.25986593024809584,0.08437352595247331
PCA3,RandomForest,dominant_cpe,3,570,0,0.22807017543859648,0.22581108283979717,0.21428417685016268
PCA3,MLP,dominant_cpe,3,570,0,0.3263157894736842,0.2579853642049221,0.1924987119275509
PCA3,GradientBoosting,dominant_cpe,3,570,0,0.23508771929824562,0.22310664999366603,0.2088418384397761
RandomProjection3,LogisticRegression,dominant_cpe,3,570,0,0.1649122807017544,0.263724534233321,0.10503336476160544
RandomProjection3,RandomForest,dominant_cpe,3,570,0,0.22807017543859648,0.23305719636189512,0.2125851504566839
RandomProjection3,MLP,dominant_cpe,3,570,0,0.2631578947368421,0.22521596051007814,0.16537417312913436
RandomProjection3,GradientBoosting,dominant_cpe,3,570,0,0.21578947368421053,0.21308743687844203,0.19983190156786748
V3_sigma0,LogisticRegression,dominant_cpe,3,570,0,0.16666666666666666,0.25631442074923005,0.1211054876496053
V3_sigma0,RandomForest,dominant_cpe,3,570,0,0.21052631578947367,0.2275616784593117,0.20810599864419183
V3_sigma0,MLP,dominant_cpe,3,570,0,0.2982456140350877,0.24125874125874125,0.17196828814720563
