representation,attacker,target,runs,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95
Majority,Baseline,dominant_cpe,10,0.3280701754385965,0.0,0.0,0.25,0.0,0.0,0.12351387054161163,0.0,0.0
Majority,Baseline,dominant_rat,10,0.9807017543859649,1.1702778228589004e-16,7.253457094217689e-17,0.5,0.0,0.0,0.49512843224092123,5.851389114294502e-17,3.6267285471088446e-17
PCA3,GradientBoosting,dominant_cpe,10,0.2350877192982456,2.925694557147251e-17,1.8133642735544223e-17,0.22310664999366603,0.0,0.0,0.2088418384397761,0.0,0.0
PCA3,GradientBoosting,dominant_rat,10,0.9175438596491226,2.340555645717801e-16,1.4506914188435379e-16,0.7797202797202798,0.0,0.0,0.5929746729667726,1.1702778228589004e-16,7.253457094217689e-17
PCA3,LogisticRegression,dominant_cpe,10,0.156140350877193,0.0,0.0,0.25986593024809584,0.0,0.0,0.0843735259524733,1.4628472785736255e-17,9.066821367772112e-18
PCA3,LogisticRegression,dominant_rat,10,0.3140350877192982,0.0,0.0,0.6502683363148478,1.1702778228589004e-16,7.253457094217689e-17,0.25772104006314717,0.0,0.0
PCA3,MLP,dominant_cpe,10,0.22526315789473683,0.04565300479588459,0.0282960255283748,0.2368974629085135,0.02835745614298914,0.01757613341179511,0.1843529977541129,0.03297361758233046,0.020437259914085622
PCA3,MLP,dominant_rat,10,0.9735087719298245,0.022746207731035712,0.014098245614035087,0.4963327370304114,0.01159690376269263,0.007187835420393562,0.4776502210514611,0.05527095678413463,0.03425729393134177
PCA3,RandomForest,dominant_cpe,10,0.2287719298245614,0.012950278863781426,0.008026665998601802,0.23292780519800252,0.01469827457272469,0.00911008496357225,0.21744726663987196,0.009597212441919694,0.005948413898974643
PCA3,RandomForest,dominant_rat,10,0.9212280701754386,0.0047831824670593204,0.0029646472077777893,0.6969344608879493,0.013955801134031115,0.008649895158556228,0.5720015516641255,0.006875700675129496,0.004261603430021463
RandomProjection3,GradientBoosting,dominant_cpe,10,0.24035087719298248,0.028045798381945725,0.017382965930223433,0.24177623173118076,0.02072425202578326,0.0128450244841474,0.22461790815612126,0.018670723317450795,0.011572234204208061
