"run_id","destination","modulation","launch_power_dbm","active_channels","channel_pattern","return_code","runtime_seconds","parsed_active_channels","published_gsnr_db","reproduced_gsnr_db","abs_gsnr_difference_db","published_osnr_db","reproduced_osnr_db","abs_osnr_difference_db","stderr_chars","missing_type_variety","missing_pmd","missing_pdl","missing_pmd_coef","edfa_below_min_gain","roadm_target_power_unmet","error_category"
"bradley_stoke__QPSK__pm5p5__load1","bradley stoke","QPSK","-5.5","1","10000000","1","1.8420282999868505","0","26.36","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p5__load2","bradley stoke","QPSK","-5.5","2","11000000","1","2.041323699988425","0","24.87","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p5__load4","bradley stoke","QPSK","-5.5","4","11110000","1","1.8438012000115123","0","23.625","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p5__load8","bradley stoke","QPSK","-5.5","8","11111111","1","1.7835670000058599","0","22.591","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p0__load1","bradley stoke","QPSK","-5.0","1","10000000","1","1.783927299984498","0","25.7","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p0__load2","bradley stoke","QPSK","-5.0","2","11000000","1","1.7495920000073966","0","24.11","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p0__load4","bradley stoke","QPSK","-5.0","4","11110000","1","1.764018899993971","0","22.807","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm5p0__load8","bradley stoke","QPSK","-5.0","8","11111111","1","1.8384871000016574","0","21.733","","","31.696","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm4p5__load1","bradley stoke","QPSK","-4.5","1","10000000","1","1.8132188000017777","0","24.98","","","31.91","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm4p5__load2","bradley stoke","QPSK","-4.5","2","11000000","1","1.8077579999808222","0","23.295","","","31.91","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm4p5__load4","bradley stoke","QPSK","-4.5","4","11110000","1","1.7567889000056311","0","21.948","","","31.907","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__QPSK__pm4p5__load8","bradley stoke","QPSK","-4.5","8","11111111","1","1.7517929000023287","0","20.839","","","31.904","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p5__load1","bradley stoke","16QAM","-5.5","1","10000000","1","1.7697420000040438","0","26.36","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p5__load2","bradley stoke","16QAM","-5.5","2","11000000","1","1.7571823000034783","0","25.21","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p5__load4","bradley stoke","16QAM","-5.5","4","11110000","1","1.7841311999945901","0","24.185","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p5__load8","bradley stoke","16QAM","-5.5","8","11111111","1","1.861649700003909","0","23.286","","","31.47","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p0__load1","bradley stoke","16QAM","-5.0","1","10000000","1","1.8825949000020046","0","25.7","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p0__load2","bradley stoke","16QAM","-5.0","2","11000000","1","1.8004753999994136","0","24.47","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p0__load4","bradley stoke","16QAM","-5.0","4","11110000","1","1.8093965000007302","0","23.39","","","31.7","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm5p0__load8","bradley stoke","16QAM","-5.0","8","11111111","1","1.7572006999980658","0","22.451","","","31.695","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm4p5__load1","bradley stoke","16QAM","-4.5","1","10000000","1","1.7470114000025205","0","24.98","","","31.91","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm4p5__load2","bradley stoke","16QAM","-4.5","2","11000000","1","1.8448308000224642","0","23.675","","","31.91","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm4p5__load4","bradley stoke","16QAM","-4.5","4","11110000","1","1.7735367999994196","0","22.547","","","31.907","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"bradley_stoke__16QAM__pm4p5__load8","bradley stoke","16QAM","-4.5","8","11111111","1","1.770139800006291","0","21.579","","","31.904","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p5__load1","froxfield","QPSK","-5.5","1","10000000","1","1.7992510000185575","0","10.22","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p5__load2","froxfield","QPSK","-5.5","2","11000000","1","1.945676100003766","0","8.21","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p5__load4","froxfield","QPSK","-5.5","4","11110000","1","1.8235895999823697","0","6.688","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p5__load8","froxfield","QPSK","-5.5","8","11111111","1","1.7841255000093952","0","5.478","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p0__load1","froxfield","QPSK","-5.0","1","10000000","1","1.8388919999997597","0","10.2","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p0__load2","froxfield","QPSK","-5.0","2","11000000","1","1.7653618000040296","0","8.19","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p0__load4","froxfield","QPSK","-5.0","4","11110000","1","1.7073751999996603","0","6.67","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm5p0__load8","froxfield","QPSK","-5.0","8","11111111","1","1.7097830999991857","0","5.46","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm4p5__load1","froxfield","QPSK","-4.5","1","10000000","1","1.7582348000141792","0","10.18","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm4p5__load2","froxfield","QPSK","-4.5","2","11000000","1","1.7782455999986269","0","8.17","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm4p5__load4","froxfield","QPSK","-4.5","4","11110000","1","1.8444285999867134","0","6.645","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__QPSK__pm4p5__load8","froxfield","QPSK","-4.5","8","11111111","1","1.763963400007924","0","5.434","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p5__load1","froxfield","16QAM","-5.5","1","10000000","1","1.8010896999912802","0","10.22","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p5__load2","froxfield","16QAM","-5.5","2","11000000","1","1.7249956000014208","0","8.655","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p5__load4","froxfield","16QAM","-5.5","4","11110000","1","1.7792223000142258","0","7.36","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p5__load8","froxfield","16QAM","-5.5","8","11111111","1","1.7767995999893174","0","6.284","","","31.11","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p0__load1","froxfield","16QAM","-5.0","1","10000000","1","1.7084369999938644","0","10.2","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p0__load2","froxfield","16QAM","-5.0","2","11000000","1","1.7890838000166696","0","8.635","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p0__load4","froxfield","16QAM","-5.0","4","11110000","1","1.6733533999940846","0","7.342","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm5p0__load8","froxfield","16QAM","-5.0","8","11111111","1","1.7711243999947328","0","6.265","","","31.32","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm4p5__load1","froxfield","16QAM","-4.5","1","10000000","1","1.752825200004736","0","10.18","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
"froxfield__16QAM__pm4p5__load2","froxfield","16QAM","-4.5","2","11000000","1","1.9215952999948058","0","8.615","","","31.51","","","4277","0","0","0","0","0","0","public_equipment_schema_validation_failure"
