source,destination,transmitter_type,channel_pattern,launch_power_dbm,16QAM,QPSK,qpsk_minus_16qam_gsnr_db
bristol,bradley stoke,voyager,00000001,-5.5,26.33,26.34,0.010000000000001563
bristol,bradley stoke,voyager,00000001,-5.0,25.67,25.68,0.00999999999999801
bristol,bradley stoke,voyager,00000001,-4.5,24.95,24.95,0.0
bristol,bradley stoke,voyager,00000010,-5.5,26.34,26.34,0.0
bristol,bradley stoke,voyager,00000010,-5.0,25.68,25.68,0.0
bristol,bradley stoke,voyager,00000010,-4.5,24.95,24.96,0.010000000000001563
bristol,bradley stoke,voyager,00000011,-5.5,25.185,24.85,-0.3349999999999973
bristol,bradley stoke,voyager,00000011,-5.0,24.445,24.09,-0.3550000000000004
bristol,bradley stoke,voyager,00000011,-4.5,23.65,23.275,-0.375
bristol,bradley stoke,voyager,00000100,-5.5,26.34,26.35,0.010000000000001563
bristol,bradley stoke,voyager,00000100,-5.0,25.68,25.69,0.010000000000001563
bristol,bradley stoke,voyager,00000100,-4.5,24.95,24.96,0.010000000000001563
bristol,bradley stoke,voyager,00000101,-5.5,25.735,25.555,-0.17999999999999972
bristol,bradley stoke,voyager,00000101,-5.0,25.025,24.835,-0.18999999999999773
bristol,bradley stoke,voyager,00000101,-4.5,24.265,24.06,-0.20500000000000185
bristol,bradley stoke,voyager,00000110,-5.5,25.19,24.85,-0.33999999999999986
bristol,bradley stoke,voyager,00000110,-5.0,24.45,24.09,-0.35999999999999943
bristol,bradley stoke,voyager,00000110,-4.5,23.655,23.28,-0.375
bristol,bradley stoke,voyager,00000111,-5.5,24.57,24.097,-0.472999999999999
bristol,bradley stoke,voyager,00000111,-5.0,23.793,23.297,-0.49599999999999866
bristol,bradley stoke,voyager,00000111,-4.5,22.973,22.453,-0.5199999999999996
bristol,bradley stoke,voyager,00001000,-5.5,26.35,26.35,0.0
bristol,bradley stoke,voyager,00001000,-5.0,25.69,25.69,0.0
bristol,bradley stoke,voyager,00001000,-4.5,24.96,24.96,0.0
bristol,bradley stoke,voyager,00001001,-5.5,25.93,25.805,-0.125
bristol,bradley stoke,voyager,00001001,-5.0,25.235,25.105,-0.129999999999999
bristol,bradley stoke,voyager,00001001,-4.5,24.485,24.345,-0.14000000000000057
bristol,bradley stoke,voyager,00001010,-5.5,25.735,25.555,-0.17999999999999972
bristol,bradley stoke,voyager,00001010,-5.0,25.035,24.84,-0.19500000000000028
bristol,bradley stoke,voyager,00001010,-4.5,24.265,24.065,-0.1999999999999993
bristol,bradley stoke,voyager,00001011,-5.5,24.99,24.617,-0.37299999999999756
bristol,bradley stoke,voyager,00001011,-5.0,24.237,23.84,-0.39699999999999847
bristol,bradley stoke,voyager,00001011,-4.5,23.43,23.017,-0.41300000000000026
bristol,bradley stoke,voyager,00001100,-5.5,25.195,24.855,-0.33999999999999986
bristol,bradley stoke,voyager,00001100,-5.0,24.455,24.095,-0.35999999999999943
bristol,bradley stoke,voyager,00001100,-4.5,23.66,23.28,-0.379999999999999
bristol,bradley stoke,voyager,00001101,-5.5,24.99,24.617,-0.37299999999999756
bristol,bradley stoke,voyager,00001101,-5.0,24.237,23.843,-0.39399999999999835
bristol,bradley stoke,voyager,00001101,-4.5,23.433,23.02,-0.41300000000000026
bristol,bradley stoke,voyager,00001110,-5.5,24.58,24.1,-0.4799999999999969
bristol,bradley stoke,voyager,00001110,-5.0,23.8,23.3,-0.5
bristol,bradley stoke,voyager,00001110,-4.5,22.977,22.457,-0.5199999999999996
bristol,bradley stoke,voyager,00001111,-5.5,24.168,23.613,-0.5549999999999997
bristol,bradley stoke,voyager,00001111,-5.0,23.37,22.79,-0.5800000000000018
bristol,bradley stoke,voyager,00001111,-4.5,22.527,21.93,-0.5970000000000013
bristol,bradley stoke,voyager,00010000,-5.5,26.35,26.35,0.0
bristol,bradley stoke,voyager,00010000,-5.0,25.69,25.69,0.0
bristol,bradley stoke,voyager,00010000,-4.5,24.96,24.97,0.00999999999999801
bristol,bradley stoke,voyager,00010001,-5.5,26.03,25.935,-0.09500000000000242
bristol,bradley stoke,voyager,00010001,-5.0,25.35,25.245,-0.10500000000000043
bristol,bradley stoke,voyager,00010001,-4.5,24.6,24.49,-0.11000000000000298
bristol,bradley stoke,voyager,00010010,-5.5,25.935,25.805,-0.129999999999999
bristol,bradley stoke,voyager,00010010,-5.0,25.245,25.105,-0.14000000000000057
bristol,bradley stoke,voyager,00010010,-4.5,24.49,24.345,-0.14499999999999957
bristol,bradley stoke,voyager,00010011,-5.5,25.157,24.82,-0.33699999999999974
bristol,bradley stoke,voyager,00010011,-5.0,24.417,24.06,-0.35700000000000287
bristol,bradley stoke,voyager,00010011,-4.5,23.617,23.247,-0.370000000000001
bristol,bradley stoke,voyager,00010100,-5.5,25.745,25.56,-0.18500000000000227
bristol,bradley stoke,voyager,00010100,-5.0,25.035,24.845,-0.19000000000000128
bristol,bradley stoke,voyager,00010100,-4.5,24.275,24.065,-0.2099999999999973
bristol,bradley stoke,voyager,00010101,-5.5,25.383,25.107,-0.2759999999999998
bristol,bradley stoke,voyager,00010101,-5.0,24.65,24.36,-0.28999999999999915
bristol,bradley stoke,voyager,00010101,-4.5,23.863,23.557,-0.30600000000000094
bristol,bradley stoke,voyager,00010110,-5.5,24.993,24.617,-0.37599999999999767
bristol,bradley stoke,voyager,00010110,-5.0,24.24,23.843,-0.39699999999999847
bristol,bradley stoke,voyager,00010110,-4.5,23.437,23.02,-0.4170000000000016
bristol,bradley stoke,voyager,00010111,-5.5,24.49,24.005,-0.48499999999999943
bristol,bradley stoke,voyager,00010111,-5.0,23.71,23.203,-0.5070000000000014
bristol,bradley stoke,voyager,00010111,-4.5,22.88,22.355,-0.5249999999999986
bristol,bradley stoke,voyager,00011000,-5.5,25.2,24.86,-0.33999999999999986
bristol,bradley stoke,voyager,00011000,-5.0,24.46,24.1,-0.35999999999999943
bristol,bradley stoke,voyager,00011000,-4.5,23.66,23.285,-0.375
bristol,bradley stoke,voyager,00011001,-5.5,25.16,24.827,-0.3329999999999984
bristol,bradley stoke,voyager,00011001,-5.0,24.42,24.063,-0.35700000000000287
bristol,bradley stoke,voyager,00011001,-4.5,23.623,23.25,-0.3730000000000011
bristol,bradley stoke,voyager,00011010,-5.5,24.997,24.617,-0.379999999999999
bristol,bradley stoke,voyager,00011010,-5.0,24.243,23.843,-0.3999999999999986
bristol,bradley stoke,voyager,00011010,-4.5,23.437,23.02,-0.4170000000000016
bristol,bradley stoke,voyager,00011011,-5.5,24.543,24.065,-0.477999999999998
bristol,bradley stoke,voyager,00011011,-5.0,23.767,23.265,-0.5019999999999989
bristol,bradley stoke,voyager,00011011,-4.5,22.942,22.418,-0.5240000000000009
bristol,bradley stoke,voyager,00011100,-5.5,24.58,24.107,-0.472999999999999
bristol,bradley stoke,voyager,00011100,-5.0,23.803,23.303,-0.5
bristol,bradley stoke,voyager,00011100,-4.5,22.983,22.46,-0.5229999999999997
bristol,bradley stoke,voyager,00011101,-5.5,24.492,24.008,-0.48400000000000176
bristol,bradley stoke,voyager,00011101,-5.0,23.712,23.203,-0.5090000000000003
bristol,bradley stoke,voyager,00011101,-4.5,22.885,22.358,-0.527000000000001
bristol,bradley stoke,voyager,00011110,-5.5,24.17,23.615,-0.5550000000000033
bristol,bradley stoke,voyager,00011110,-5.0,23.375,22.797,-0.5779999999999994
bristol,bradley stoke,voyager,00011110,-4.5,22.532,21.935,-0.5970000000000013
bristol,bradley stoke,voyager,00011111,-5.5,23.868,23.26,-0.607999999999997
bristol,bradley stoke,voyager,00011111,-5.0,23.058,22.428,-0.629999999999999
bristol,bradley stoke,voyager,00011111,-4.5,22.206,21.556,-0.6499999999999986
bristol,bradley stoke,voyager,00100000,-5.5,26.35,26.36,0.00999999999999801
bristol,bradley stoke,voyager,00100000,-5.0,25.69,25.7,0.00999999999999801
bristol,bradley stoke,voyager,00100000,-4.5,24.97,24.97,0.0
bristol,bradley stoke,voyager,00100001,-5.5,26.09,26.02,-0.07000000000000028
bristol,bradley stoke,voyager,00100001,-5.0,25.41,25.33,-0.08000000000000185
bristol,bradley stoke,voyager,00100001,-4.5,24.67,24.58,-0.09000000000000341
bristol,bradley stoke,voyager,00100010,-5.5,26.035,25.94,-0.09499999999999886
bristol,bradley stoke,voyager,00100010,-5.0,25.35,25.25,-0.10000000000000142
bristol,bradley stoke,voyager,00100010,-4.5,24.6,24.495,-0.10500000000000043
bristol,bradley stoke,voyager,00100011,-5.5,25.25,24.937,-0.31299999999999883
bristol,bradley stoke,voyager,00100011,-5.0,24.513,24.183,-0.33000000000000185
bristol,bradley stoke,voyager,00100011,-4.5,23.72,23.373,-0.34699999999999775
bristol,bradley stoke,voyager,00100100,-5.5,25.935,25.815,-0.11999999999999744
bristol,bradley stoke,voyager,00100100,-5.0,25.245,25.115,-0.13000000000000256
bristol,bradley stoke,voyager,00100100,-4.5,24.495,24.35,-0.14499999999999957
bristol,bradley stoke,voyager,00100101,-5.5,25.537,25.297,-0.23999999999999844
bristol,bradley stoke,voyager,00100101,-5.0,24.817,24.567,-0.25
bristol,bradley stoke,voyager,00100101,-4.5,24.037,23.78,-0.2569999999999979
bristol,bradley stoke,voyager,00100110,-5.5,25.16,24.823,-0.33699999999999974
bristol,bradley stoke,voyager,00100110,-5.0,24.417,24.063,-0.35400000000000276
bristol,bradley stoke,voyager,00100110,-4.5,23.62,23.25,-0.370000000000001
bristol,bradley stoke,voyager,00100111,-5.5,24.627,24.172,-0.4549999999999983
bristol,bradley stoke,voyager,00100111,-5.0,23.852,23.38,-0.4720000000000013
bristol,bradley stoke,voyager,00100111,-4.5,23.032,22.54,-0.4920000000000009
bristol,bradley stoke,voyager,00101000,-5.5,25.745,25.565,-0.17999999999999972
bristol,bradley stoke,voyager,00101000,-5.0,25.045,24.845,-0.20000000000000284
bristol,bradley stoke,voyager,00101000,-4.5,24.275,24.07,-0.2049999999999983
bristol,bradley stoke,voyager,00101001,-5.5,25.533,25.303,-0.23000000000000043
bristol,bradley stoke,voyager,00101001,-5.0,24.817,24.567,-0.25
bristol,bradley stoke,voyager,00101001,-4.5,24.043,23.777,-0.26599999999999824
bristol,bradley stoke,voyager,00101010,-5.5,25.383,25.107,-0.2759999999999998
bristol,bradley stoke,voyager,00101010,-5.0,24.657,24.36,-0.2970000000000006
bristol,bradley stoke,voyager,00101010,-4.5,23.873,23.56,-0.3130000000000024
bristol,bradley stoke,voyager,00101011,-5.5,24.837,24.432,-0.40500000000000114
bristol,bradley stoke,voyager,00101011,-5.0,24.08,23.648,-0.4319999999999986
bristol,bradley stoke,voyager,00101011,-4.5,23.267,22.817,-0.4499999999999993
bristol,bradley stoke,voyager,00101100,-5.5,24.997,24.617,-0.379999999999999
bristol,bradley stoke,voyager,00101100,-5.0,24.243,23.847,-0.39599999999999724
bristol,bradley stoke,voyager,00101100,-4.5,23.44,23.023,-0.4170000000000016
bristol,bradley stoke,voyager,00101101,-5.5,24.81,24.398,-0.41199999999999903
bristol,bradley stoke,voyager,00101101,-5.0,24.047,23.61,-0.43700000000000117
bristol,bradley stoke,voyager,00101101,-4.5,23.232,22.78,-0.4519999999999982
bristol,bradley stoke,voyager,00101110,-5.5,24.492,24.01,-0.4819999999999993
bristol,bradley stoke,voyager,00101110,-5.0,23.712,23.205,-0.5070000000000014
bristol,bradley stoke,voyager,00101110,-4.5,22.885,22.358,-0.527000000000001
bristol,bradley stoke,voyager,00101111,-5.5,24.126,23.576,-0.5500000000000007
bristol,bradley stoke,voyager,00101111,-5.0,23.33,22.752,-0.5779999999999994
bristol,bradley stoke,voyager,00101111,-4.5,22.486,21.892,-0.5940000000000012
