scenario_id,stderr_chars,missing_type_variety,missing_pmd,missing_pdl,missing_pmd_coef,edfa_below_min_gain,roadm_target_power_unmet,has_critical_configuration_warning
iter-1-scenario-10,2481,1,1,1,1,8,2,True
iter-1-scenario-100,2481,1,1,1,1,8,2,True
iter-1-scenario-1000,2481,1,1,1,1,8,2,True
iter-1-scenario-1001,2481,1,1,1,1,8,2,True
iter-1-scenario-1002,2481,1,1,1,1,8,2,True
iter-1-scenario-1003,2481,1,1,1,1,8,2,True
iter-1-scenario-1004,2481,1,1,1,1,8,2,True
iter-1-scenario-1005,2481,1,1,1,1,8,2,True
iter-1-scenario-1006,2481,1,1,1,1,8,2,True
iter-1-scenario-1007,2481,1,1,1,1,8,2,True
iter-1-scenario-1008,2481,1,1,1,1,8,2,True
iter-1-scenario-1009,2481,1,1,1,1,8,2,True
iter-1-scenario-101,2481,1,1,1,1,8,2,True
iter-1-scenario-1010,2481,1,1,1,1,8,2,True
iter-1-scenario-1011,2481,1,1,1,1,8,2,True
iter-1-scenario-1012,2481,1,1,1,1,8,2,True
iter-1-scenario-1013,2481,1,1,1,1,8,2,True
iter-1-scenario-1014,2481,1,1,1,1,8,2,True
iter-1-scenario-1015,2481,1,1,1,1,8,2,True
iter-1-scenario-1016,2481,1,1,1,1,8,2,True
iter-1-scenario-1017,2481,1,1,1,1,8,2,True
iter-1-scenario-1018,2481,1,1,1,1,8,2,True
iter-1-scenario-1019,2481,1,1,1,1,8,2,True
iter-1-scenario-102,2481,1,1,1,1,8,2,True
iter-1-scenario-1020,2481,1,1,1,1,8,2,True
iter-1-scenario-1021,2481,1,1,1,1,8,2,True
iter-1-scenario-1022,2481,1,1,1,1,8,2,True
iter-1-scenario-1023,2481,1,1,1,1,8,2,True
iter-1-scenario-1024,2481,1,1,1,1,8,2,True
iter-1-scenario-1026,2481,1,1,1,1,8,2,True
iter-1-scenario-1027,2481,1,1,1,1,8,2,True
iter-1-scenario-1028,2481,1,1,1,1,8,2,True
iter-1-scenario-1029,2481,1,1,1,1,8,2,True
iter-1-scenario-103,2481,1,1,1,1,8,2,True
iter-1-scenario-1030,2481,1,1,1,1,8,2,True
iter-1-scenario-1031,2481,1,1,1,1,8,2,True
iter-1-scenario-1032,2481,1,1,1,1,8,2,True
iter-1-scenario-1033,2481,1,1,1,1,8,2,True
iter-1-scenario-1034,2481,1,1,1,1,8,2,True
iter-1-scenario-1035,2481,1,1,1,1,8,2,True
iter-1-scenario-1036,2481,1,1,1,1,8,2,True
iter-1-scenario-1037,2481,1,1,1,1,8,2,True
iter-1-scenario-1038,2481,1,1,1,1,8,2,True
iter-1-scenario-1039,2481,1,1,1,1,8,2,True
iter-1-scenario-104,2481,1,1,1,1,8,2,True
iter-1-scenario-1040,2481,1,1,1,1,8,2,True
iter-1-scenario-1041,2481,1,1,1,1,8,2,True
iter-1-scenario-1042,2481,1,1,1,1,8,2,True
iter-1-scenario-1043,2481,1,1,1,1,8,2,True
iter-1-scenario-1044,2481,1,1,1,1,8,2,True
iter-1-scenario-1045,2481,1,1,1,1,8,2,True
iter-1-scenario-1046,2481,1,1,1,1,8,2,True
iter-1-scenario-1047,2481,1,1,1,1,8,2,True
iter-1-scenario-1048,2481,1,1,1,1,8,2,True
iter-1-scenario-1049,2481,1,1,1,1,8,2,True
iter-1-scenario-105,2481,1,1,1,1,8,2,True
iter-1-scenario-1050,2481,1,1,1,1,8,2,True
iter-1-scenario-1051,2481,1,1,1,1,8,2,True
iter-1-scenario-1052,2481,1,1,1,1,8,2,True
iter-1-scenario-1053,2481,1,1,1,1,8,2,True
iter-1-scenario-1054,2481,1,1,1,1,8,2,True
iter-1-scenario-1055,2481,1,1,1,1,8,2,True
iter-1-scenario-1056,2481,1,1,1,1,8,2,True
iter-1-scenario-1057,2481,1,1,1,1,8,2,True
iter-1-scenario-1058,2481,1,1,1,1,8,2,True
iter-1-scenario-1059,2481,1,1,1,1,8,2,True
iter-1-scenario-106,2481,1,1,1,1,8,2,True
iter-1-scenario-1060,2481,1,1,1,1,8,2,True
iter-1-scenario-1061,2481,1,1,1,1,8,2,True
iter-1-scenario-1062,2481,1,1,1,1,8,2,True
iter-1-scenario-1063,2481,1,1,1,1,8,2,True
iter-1-scenario-1064,2481,1,1,1,1,8,2,True
iter-1-scenario-1065,2481,1,1,1,1,8,2,True
iter-1-scenario-1066,2481,1,1,1,1,8,2,True
iter-1-scenario-1067,2481,1,1,1,1,8,2,True
iter-1-scenario-1068,2481,1,1,1,1,8,2,True
iter-1-scenario-1069,2481,1,1,1,1,8,2,True
iter-1-scenario-107,2481,1,1,1,1,8,2,True
iter-1-scenario-1070,2481,1,1,1,1,8,2,True
iter-1-scenario-1071,2481,1,1,1,1,8,2,True
iter-1-scenario-1072,2481,1,1,1,1,8,2,True
iter-1-scenario-1073,2481,1,1,1,1,8,2,True
iter-1-scenario-1074,2481,1,1,1,1,8,2,True
iter-1-scenario-1075,2481,1,1,1,1,8,2,True
iter-1-scenario-1076,2481,1,1,1,1,8,2,True
iter-1-scenario-1077,2481,1,1,1,1,8,2,True
iter-1-scenario-1078,2481,1,1,1,1,8,2,True
iter-1-scenario-1079,2481,1,1,1,1,8,2,True
iter-1-scenario-108,2481,1,1,1,1,8,2,True
iter-1-scenario-1080,2481,1,1,1,1,8,2,True
iter-1-scenario-1081,2481,1,1,1,1,8,2,True
iter-1-scenario-1082,2481,1,1,1,1,8,2,True
iter-1-scenario-1083,2481,1,1,1,1,8,2,True
iter-1-scenario-1084,2481,1,1,1,1,8,2,True
iter-1-scenario-1085,2481,1,1,1,1,8,2,True
iter-1-scenario-1086,2481,1,1,1,1,8,2,True
iter-1-scenario-1087,2481,1,1,1,1,8,2,True
iter-1-scenario-1088,2481,1,1,1,1,8,2,True
iter-1-scenario-1089,2481,1,1,1,1,8,2,True
iter-1-scenario-109,2481,1,1,1,1,8,2,True
iter-1-scenario-1090,2481,1,1,1,1,8,2,True
iter-1-scenario-1091,2481,1,1,1,1,8,2,True
iter-1-scenario-1092,2481,1,1,1,1,8,2,True
iter-1-scenario-1093,2481,1,1,1,1,8,2,True
iter-1-scenario-1094,2481,1,1,1,1,8,2,True
iter-1-scenario-1095,2481,1,1,1,1,8,2,True
iter-1-scenario-1096,2481,1,1,1,1,8,2,True
