scenario_id,iteration,network,source,destination,target_date,target_column,distance_km,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,channel_slots,channel_pattern,channels,launch_power_dbm,preferred_engine,selected_engine,decision_reason,backend,status,gsnr_db,osnr_db,ase_dbm,gsnr_signal_bw_db,gsnr_0p1nm_db,osnr_signal_bw_db,osnr_0p1nm_db,ase_signal_bw_dbm,ase_0p1nm_dbm,rx_total_wdm_power_dbm,rx_signal_power_dbm,effective_snr_db,ber,r2,mae,mse,evm,gmi,ngmi,error_message,path_nodes,span_count,gnpy_request_json,gnpy_result_json,gnpy_spectrum_json,opticommpy_request_json,opticommpy_result_json,lstm_request_json,lstm_result_json,lstm_forecast_csv,lstm_model_path,eye_diagram_png,constellation_png,psd_png,notes,metrics_json
iter-2-scenario-1,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000000,0,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 0, 'channel_slots': 8, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-2,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000000,0,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 0, 'channel_slots': 8, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '00000000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-3,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000000,0,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,derived,no_signal,,,,,,,,,,,,,,,,,,,,,bristol -> bradley stoke,1,,,,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 0, 'channel_slots': 8, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000000', 'note': 'All channel slots are switched off in this pattern.'}"
iter-2-scenario-4,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000001,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.34,31.47,-30.68,26.34,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-4_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000001', 'channel_details': [{'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.93, 'gsnr_signal_bw_db': 26.34}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.34, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-5,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000001,1,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,25.68,31.69,-30.4,25.68,,31.69,,-30.4,,,1.29,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-5_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '00000001', 'channel_details': [{'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'snr_nli_signal_bw_db': 26.93, 'gsnr_signal_bw_db': 25.68}], 'rx_signal_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'gsnr_signal_bw_db': 25.68, 'ase_signal_bw_dbm': -30.4}"
iter-2-scenario-6,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000001,1,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,24.95,31.9,-30.11,24.95,,31.9,,-30.11,,,1.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-6_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000001', 'channel_details': [{'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'snr_nli_signal_bw_db': 25.93, 'gsnr_signal_bw_db': 24.95}], 'rx_signal_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'gsnr_signal_bw_db': 24.95, 'ase_signal_bw_dbm': -30.11}"
iter-2-scenario-7,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000010,1,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,26.34,31.47,-30.68,26.34,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-7_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000010', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 27.94, 'gsnr_signal_bw_db': 26.34}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 26.34, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-8,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000010,1,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,25.68,31.69,-30.4,25.68,,31.69,,-30.4,,,1.29,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-8_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-8_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-8_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '00000010', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'snr_nli_signal_bw_db': 26.94, 'gsnr_signal_bw_db': 25.68}], 'rx_signal_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'gsnr_signal_bw_db': 25.68, 'ase_signal_bw_dbm': -30.4}"
iter-2-scenario-9,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000010,1,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,24.96,31.9,-30.11,24.96,,31.9,,-30.11,,,1.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-9_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-9_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-9_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 1, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000010', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'snr_nli_signal_bw_db': 25.94, 'gsnr_signal_bw_db': 24.96}], 'rx_signal_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'gsnr_signal_bw_db': 24.96, 'ase_signal_bw_dbm': -30.11}"
iter-2-scenario-10,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000011,2,-5.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,24.85,31.47,-30.68,24.85,,31.47,,-30.68,,,0.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-10_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-10_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-10_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 2, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000011', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 25.92, 'gsnr_signal_bw_db': 24.85}, {'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'snr_nli_signal_bw_db': 25.91, 'gsnr_signal_bw_db': 24.85}], 'rx_signal_power_dbm': 0.79, 'osnr_signal_bw_db': 31.47, 'gsnr_signal_bw_db': 24.85, 'ase_signal_bw_dbm': -30.68}"
iter-2-scenario-11,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000011,2,-5.0,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,24.09,31.69,-30.4,24.09,,31.69,,-30.4,,,1.29,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-11_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-11_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-11_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 2, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -5.0, 'transmitter_type': 'voyager', 'channel_pattern': '00000011', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'snr_nli_signal_bw_db': 24.92, 'gsnr_signal_bw_db': 24.09}, {'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'snr_nli_signal_bw_db': 24.91, 'gsnr_signal_bw_db': 24.09}], 'rx_signal_power_dbm': 1.29, 'osnr_signal_bw_db': 31.69, 'gsnr_signal_bw_db': 24.09, 'ase_signal_bw_dbm': -30.4}"
iter-2-scenario-12,2,NDFF,bristol,bradley stoke,,,23.6,voyager,QPSK,32.0,100.0,8,00000011,2,-4.5,gnpy,gnpy,Scenario Expander selected this engine from the task semantics.,real,ok,23.275,31.9,-30.11,23.275,,31.9,,-30.11,,,1.79,,,,,,,,,,bristol -> bradley stoke,1,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-12_request.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-12_result.json,C:\Users\po19996\Downloads\code\ECOC2026\oopt-gnpy\data\_gnpy_cli_runtime\iter-2-scenario-12_spectrum.json,,,,,,,,,,Dataset generation for Bristol to Bradley Stoke. Power sweep refined by reflection.,"{'channels_simulated': 2, 'channel_slots': 8, 'spans_simulated': 1, 'launch_power_dbm': -4.5, 'transmitter_type': 'voyager', 'channel_pattern': '00000011', 'channel_details': [{'channel_number': 7.0, 'frequency_thz': 194.225, 'channel_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'snr_nli_signal_bw_db': 23.92, 'gsnr_signal_bw_db': 23.28}, {'channel_number': 8.0, 'frequency_thz': 194.2625, 'channel_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'snr_nli_signal_bw_db': 23.91, 'gsnr_signal_bw_db': 23.27}], 'rx_signal_power_dbm': 1.79, 'osnr_signal_bw_db': 31.9, 'gsnr_signal_bw_db': 23.275, 'ase_signal_bw_dbm': -30.11}"
