run_id,scenario_id,destination,modulation,launch_power_dbm,active_channels,channel_pattern,strict_guard_channels,archived_gsnr_db,archived_osnr_db,historical_return_code,historical_runtime_seconds,historical_parsed_active_channels,historical_gsnr_db,historical_osnr_db,historical_abs_gsnr_difference_db,historical_abs_osnr_difference_db,historical_edfa_below_min_gain,historical_roadm_target_power_unmet,strict_return_code,strict_runtime_seconds,strict_parsed_active_channels,strict_gsnr_db,strict_osnr_db,strict_abs_gsnr_difference_db,strict_abs_osnr_difference_db,strict_edfa_below_min_gain,strict_roadm_target_power_unmet
bradley_stoke__QPSK__pm5p5__load1,iter-2-scenario-385,bradley stoke,QPSK,-5.5,1,10000000,1,26.36,31.47,0,0.7698718999745324,1,26.36,31.47,0.0,0.0,8,1,0,1.948124699993059,1,26.35,31.47,0.00999999999999801,0.0,8,1
bradley_stoke__QPSK__pm5p5__load2,iter-2-scenario-577,bradley stoke,QPSK,-5.5,2,11000000,0,24.87,31.47,0,0.738948000012897,2,24.87,31.47,0.0,0.0,8,1,0,1.9563084000255913,2,24.855,31.47,0.015000000000000568,0.0,8,1
bradley_stoke__QPSK__pm5p5__load4,iter-2-scenario-721,bradley stoke,QPSK,-5.5,4,11110000,0,23.625,31.47,0,0.7407989999628626,4,23.625,31.47,0.0,0.0,8,1,0,1.9015491000027396,4,23.6125,31.47,0.01249999999999929,0.0,8,1
bradley_stoke__QPSK__pm5p5__load8,iter-2-scenario-766,bradley stoke,QPSK,-5.5,8,11111111,0,22.591,31.47,0,0.7500644000247121,8,22.59125,31.47,0.000249999999997641,0.0,8,1,0,1.8887614000122994,8,22.56875,31.47,0.02224999999999966,0.0,8,1
bradley_stoke__QPSK__pm5p0__load1,iter-2-scenario-386,bradley stoke,QPSK,-5.0,1,10000000,1,25.7,31.7,0,0.7129549999954179,1,25.7,31.7,0.0,0.0,8,1,0,1.854241999972146,1,25.69,31.7,0.00999999999999801,0.0,8,1
bradley_stoke__QPSK__pm5p0__load2,iter-2-scenario-578,bradley stoke,QPSK,-5.0,2,11000000,0,24.11,31.7,0,0.7294885000446811,2,24.11,31.7,0.0,0.0,8,1,0,1.8349421000457369,2,24.09,31.7,0.019999999999999574,0.0,8,1
bradley_stoke__QPSK__pm5p0__load4,iter-2-scenario-722,bradley stoke,QPSK,-5.0,4,11110000,0,22.807,31.7,0,0.7475435999804176,4,22.807499999999997,31.7,0.0004999999999988347,0.0,8,1,0,1.9208125000004657,4,22.7875,31.7,0.019499999999997186,0.0,8,1
bradley_stoke__QPSK__pm5p0__load8,iter-2-scenario-767,bradley stoke,QPSK,-5.0,8,11111111,0,21.733,31.696,0,0.7904000999988057,8,21.7325,31.69625,0.0004999999999988347,0.000249999999997641,8,1,0,2.0125903000007384,8,21.705,31.69625,0.028000000000002245,0.000249999999997641,8,1
bradley_stoke__QPSK__pm4p5__load1,iter-2-scenario-387,bradley stoke,QPSK,-4.5,1,10000000,1,24.98,31.91,0,0.8352889999514446,1,24.98,31.91,0.0,0.0,8,0,0,1.9254692000104114,1,24.97,31.91,0.010000000000001563,0.0,8,0
bradley_stoke__QPSK__pm4p5__load2,iter-2-scenario-579,bradley stoke,QPSK,-4.5,2,11000000,0,23.295,31.91,0,0.7416696000145748,2,23.295,31.91,0.0,0.0,8,0,0,1.9301016999525018,2,23.28,31.91,0.015000000000000568,0.0,8,0
bradley_stoke__QPSK__pm4p5__load4,iter-2-scenario-723,bradley stoke,QPSK,-4.5,4,11110000,0,21.948,31.907,0,0.7265536999912001,4,21.9475,31.9075,0.0004999999999988347,0.0004999999999988347,8,0,0,1.8495372000033967,4,21.9175,31.9075,0.03049999999999997,0.0004999999999988347,8,0
bradley_stoke__QPSK__pm4p5__load8,iter-2-scenario-768,bradley stoke,QPSK,-4.5,8,11111111,0,20.839,31.904,0,0.7288029999472201,8,20.83875,31.90375,0.000249999999997641,0.0002500000000011937,8,0,0,1.905128300015349,8,20.805,31.90375,0.03399999999999892,0.0002500000000011937,8,0
bradley_stoke__16QAM__pm5p5__load1,iter-2-scenario-1153,bradley stoke,16QAM,-5.5,1,10000000,1,26.36,31.47,0,0.7906201999867335,1,26.36,31.47,0.0,0.0,8,1,0,2.0510095999925397,1,26.35,31.47,0.00999999999999801,0.0,8,1
bradley_stoke__16QAM__pm5p5__load2,iter-2-scenario-1345,bradley stoke,16QAM,-5.5,2,11000000,0,25.21,31.47,0,0.7765674000256695,2,25.21,31.47,0.0,0.0,8,1,0,1.8766258000396192,2,25.2,31.47,0.010000000000001563,0.0,8,1
bradley_stoke__16QAM__pm5p5__load4,iter-2-scenario-1489,bradley stoke,16QAM,-5.5,4,11110000,0,24.185,31.47,0,0.7845582999871112,4,24.185000000000002,31.47,3.552713678800501e-15,0.0,8,1,0,1.9614650000003166,4,24.169999999999998,31.47,0.015000000000000568,0.0,8,1
bradley_stoke__16QAM__pm5p5__load8,iter-2-scenario-1534,bradley stoke,16QAM,-5.5,8,11111111,0,23.286,31.47,0,0.8124554000096396,8,23.28625,31.47,0.000249999999997641,0.0,8,1,0,1.9465497999917716,8,23.2675,31.47,0.01850000000000307,0.0,8,1
bradley_stoke__16QAM__pm5p0__load1,iter-2-scenario-1154,bradley stoke,16QAM,-5.0,1,10000000,1,25.7,31.7,0,0.7787112999940291,1,25.7,31.7,0.0,0.0,8,1,0,1.9557400000048801,1,25.69,31.7,0.00999999999999801,0.0,8,1
bradley_stoke__16QAM__pm5p0__load2,iter-2-scenario-1346,bradley stoke,16QAM,-5.0,2,11000000,0,24.47,31.7,0,0.7618576999520883,2,24.47,31.7,0.0,0.0,8,1,0,1.8556332999723963,2,24.46,31.7,0.00999999999999801,0.0,8,1
bradley_stoke__16QAM__pm5p0__load4,iter-2-scenario-1490,bradley stoke,16QAM,-5.0,4,11110000,0,23.39,31.7,0,0.7315301999915391,4,23.39,31.7,0.0,0.0,8,1,0,1.917338999977801,4,23.3725,31.7,0.017500000000001847,0.0,8,1
bradley_stoke__16QAM__pm5p0__load8,iter-2-scenario-1535,bradley stoke,16QAM,-5.0,8,11111111,0,22.451,31.695,0,0.7384724000003189,8,22.45125,31.695,0.0002500000000011937,0.0,8,1,0,1.8871442999807186,8,22.427500000000002,31.695,0.023499999999998522,0.0,8,1
bradley_stoke__16QAM__pm4p5__load1,iter-2-scenario-1155,bradley stoke,16QAM,-4.5,1,10000000,1,24.98,31.91,0,0.7091053000185639,1,24.98,31.91,0.0,0.0,8,0,0,1.8254742000135593,1,24.97,31.91,0.010000000000001563,0.0,8,0
bradley_stoke__16QAM__pm4p5__load2,iter-2-scenario-1347,bradley stoke,16QAM,-4.5,2,11000000,0,23.675,31.91,0,0.7940304999938235,2,23.675,31.91,0.0,0.0,8,0,0,2.219971699989401,2,23.66,31.91,0.015000000000000568,0.0,8,0
bradley_stoke__16QAM__pm4p5__load4,iter-2-scenario-1491,bradley stoke,16QAM,-4.5,4,11110000,0,22.547,31.907,0,0.8399154999642633,4,22.5475,31.9075,0.0004999999999988347,0.0004999999999988347,8,0,0,2.140134899993427,4,22.5275,31.9075,0.01950000000000074,0.0004999999999988347,8,0
bradley_stoke__16QAM__pm4p5__load8,iter-2-scenario-1536,bradley stoke,16QAM,-4.5,8,11111111,0,21.579,31.904,0,0.8209900999790989,8,21.57875,31.90375,0.0002500000000011937,0.0002500000000011937,8,0,0,2.125145700003486,8,21.55125,31.90375,0.02775000000000105,0.0002500000000011937,8,0
