source,destination,transmitter_type,modulation,channel_pattern,launch_power_dbm,scenario_id,iteration,status,channels,distance_km,slot_width_ghz,gsnr_signal_bw_db,osnr_signal_bw_db
bristol,bradley stoke,voyager,16QAM,00000000,-6.5,iter-2-scenario-580,2,no_signal,0,23.6,50.0,,
bristol,bradley stoke,voyager,16QAM,00000000,-6.0,iter-2-scenario-581,2,no_signal,0,23.6,50.0,,
bristol,bradley stoke,voyager,16QAM,00000000,-5.5,iter-2-scenario-582,2,no_signal,0,23.6,50.0,,
bristol,bradley stoke,voyager,16QAM,00000001,-6.5,iter-2-scenario-1756,2,ok,1,23.6,50.0,27.4,30.98
bristol,bradley stoke,voyager,16QAM,00000001,-6.0,iter-2-scenario-1757,2,ok,1,23.6,50.0,26.91,31.23
bristol,bradley stoke,voyager,16QAM,00000001,-5.5,iter-2-scenario-1758,2,ok,1,23.6,50.0,26.33,31.47
bristol,bradley stoke,voyager,16QAM,00000010,-6.5,iter-2-scenario-1843,2,ok,1,23.6,50.0,27.41,30.98
bristol,bradley stoke,voyager,16QAM,00000010,-6.0,iter-2-scenario-1844,2,ok,1,23.6,50.0,26.91,31.23
bristol,bradley stoke,voyager,16QAM,00000010,-5.5,iter-2-scenario-1845,2,ok,1,23.6,50.0,26.33,31.47
bristol,bradley stoke,voyager,16QAM,00000011,-6.5,iter-2-scenario-973,2,ok,2,23.6,50.0,26.45,30.98
bristol,bradley stoke,voyager,16QAM,00000011,-6.0,iter-2-scenario-974,2,ok,2,23.6,50.0,25.85,31.23
bristol,bradley stoke,voyager,16QAM,00000011,-5.5,iter-2-scenario-975,2,ok,2,23.6,50.0,25.175,31.47
bristol,bradley stoke,voyager,16QAM,00000100,-6.5,iter-2-scenario-2347,2,ok,1,23.6,50.0,27.41,30.98
bristol,bradley stoke,voyager,16QAM,00000100,-6.0,iter-2-scenario-2348,2,ok,1,23.6,50.0,26.92,31.23
bristol,bradley stoke,voyager,16QAM,00000100,-5.5,iter-2-scenario-2349,2,ok,1,23.6,50.0,26.33,31.47
bristol,bradley stoke,voyager,16QAM,00000101,-6.5,iter-2-scenario-5203,2,ok,2,23.6,50.0,26.915,30.98
bristol,bradley stoke,voyager,16QAM,00000101,-6.0,iter-2-scenario-5204,2,ok,2,23.6,50.0,26.36,31.23
bristol,bradley stoke,voyager,16QAM,00000101,-5.5,iter-2-scenario-5205,2,ok,2,23.6,50.0,25.725,31.47
bristol,bradley stoke,voyager,16QAM,00000110,-6.5,iter-2-scenario-427,2,ok,2,23.6,50.0,26.455,30.98
bristol,bradley stoke,voyager,16QAM,00000110,-6.0,iter-2-scenario-428,2,ok,2,23.6,50.0,25.855,31.23
bristol,bradley stoke,voyager,16QAM,00000110,-5.5,iter-2-scenario-429,2,ok,2,23.6,50.0,25.18,31.47
bristol,bradley stoke,voyager,16QAM,00000111,-6.5,iter-2-scenario-1354,2,ok,3,23.6,50.0,25.927,30.98
bristol,bradley stoke,voyager,16QAM,00000111,-6.0,iter-2-scenario-1355,2,ok,3,23.6,50.0,25.277,31.23
