repeat,enumeration_seconds
1,0.002100400044582784
2,0.0015897999983280897
3,0.0014398000203073025
4,0.0013612998882308602
5,0.0014022000832483172
6,0.047326199943199754
7,0.0014166999608278275
8,0.001479000085964799
9,0.001415399950928986
10,0.0013981000520288944
11,0.0013708999613299966
12,0.0015222999500110745
13,0.0015360000543296337
14,0.0014189999783411622
15,0.0014191999798640609
16,0.0013541000662371516
17,0.0013947999104857445
18,0.0013921000063419342
19,0.001633100095205009
20,0.0015518999425694346
21,0.0014531000051647425
22,0.0014519999967887998
23,0.001476599951274693
24,0.0014822999946773052
25,0.0015150000108405948
26,0.001449699979275465
27,0.0014636000851169229
28,0.001434599980711937
29,0.0014949999749660492
30,0.001430200063623488
31,0.0014031999744474888
