run_id,seed,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,raw_flowmonitor_rows,application_rows,metadata_rows,mapping_rows,unique_mapping_flow_ids,NR_rows,WiFi80211ax_rows,LiFi_rows,unique_application_keys,all_required_kpis_finite,all_mapping_status_match,status
load10p0_speed0p5_fov40p0_seed1,1,10,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed0p5_fov40p0_seed2,2,10,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed0p5_fov40p0_seed3,3,10,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed0p5_fov70p0_seed1,1,10,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed0p5_fov70p0_seed2,2,10,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed0p5_fov70p0_seed3,3,10,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov40p0_seed1,1,10,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov40p0_seed2,2,10,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov40p0_seed3,3,10,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov70p0_seed1,1,10,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov70p0_seed2,2,10,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load10p0_speed3p0_fov70p0_seed3,3,10,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov40p0_seed1,1,20,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov40p0_seed2,2,20,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov40p0_seed3,3,20,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov70p0_seed1,1,20,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov70p0_seed2,2,20,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed0p5_fov70p0_seed3,3,20,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov40p0_seed1,1,20,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov40p0_seed2,2,20,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov40p0_seed3,3,20,3,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov70p0_seed1,1,20,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov70p0_seed2,2,20,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load20p0_speed3p0_fov70p0_seed3,3,20,3,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov40p0_seed1,1,2,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov40p0_seed2,2,2,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov40p0_seed3,3,2,0.5,40,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov70p0_seed1,1,2,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov70p0_seed2,2,2,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
load2p0_speed0p5_fov70p0_seed3,3,2,0.5,70,13,9,9,9,9,3,3,3,9,1,1,PASS
