time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.338612e+00,5.448439e-01,5.448439e-01,1,1.000000e+00,1.084647e-05,1.084647e-04,5.423235e-05,5.703654e-18,4.887497e-21,5.152187e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.013213e+00,1.146335e-01,1.146335e-01,1,1.000000e+00,1.974977e-05,1.974977e-04,9.874883e-05,9.983050e-18,4.887497e-21,9.763108e+08,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.342561e+00,5.476193e-01,5.476193e-01,1,1.000000e+00,1.077351e-05,1.077351e-04,5.386757e-05,5.668588e-18,4.887497e-21,5.114528e+08,0.000000e+00,0.000000e+00,1,0
1.101665e+00,1,2.334324e+00,5.418051e-01,5.418051e-01,1,1.000000e+00,1.092639e-05,1.092639e-04,5.463195e-05,5.742068e-18,4.887497e-21,5.193446e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,2,2.015227e+00,1.230084e-01,1.230084e-01,1,1.000000e+00,1.967094e-05,1.967094e-04,9.835469e-05,9.945161e-18,4.887497e-21,9.722208e+08,0.000000e+00,0.000000e+00,63,0
1.101665e+00,3,2.349526e+00,5.524613e-01,5.524613e-01,1,1.000000e+00,1.064633e-05,1.064633e-04,5.323164e-05,5.607455e-18,4.887497e-21,5.048885e+08,0.000000e+00,0.000000e+00,63,0
1.203246e+00,1,2.331134e+00,5.395278e-01,5.395278e-01,1,1.000000e+00,1.098631e-05,1.098631e-04,5.493154e-05,5.770867e-18,4.887497e-21,5.224380e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,2,2.018517e+00,1.355566e-01,1.355566e-01,1,1.000000e+00,1.954299e-05,1.954299e-04,9.771496e-05,9.883664e-18,4.887497e-21,9.655827e+08,0.000000e+00,0.000000e+00,125,0
1.203246e+00,3,2.357565e+00,5.579678e-01,5.579678e-01,1,1.000000e+00,1.050186e-05,1.050186e-04,5.250928e-05,5.538015e-18,4.887497e-21,4.974334e+08,0.000000e+00,0.000000e+00,125,0
1.304827e+00,1,2.335466e+00,5.426170e-01,5.426170e-01,1,1.000000e+00,1.090503e-05,1.090503e-04,5.452517e-05,5.731804e-18,4.887497e-21,5.182420e+08,0.000000e+00,0.000000e+00,187,0
1.304827e+00,2,2.019430e+00,1.388311e-01,1.388311e-01,1,1.000000e+00,1.950768e-05,1.950768e-04,9.753842e-05,9.866693e-18,4.887497e-21,9.637508e+08,0.000000e+00,0.000000e+00,187,0
1.304827e+00,3,2.376127e+00,5.703615e-01,5.703615e-01,1,1.000000e+00,1.017753e-05,1.017753e-04,5.088764e-05,5.382126e-18,4.887497e-21,4.807028e+08,0.000000e+00,0.000000e+00,187,0
1.406408e+00,1,2.346337e+00,5.502524e-01,5.502524e-01,1,1.000000e+00,1.070433e-05,1.070433e-04,5.352166e-05,5.635335e-18,4.887497e-21,5.078821e+08,0.000000e+00,0.000000e+00,249,0
1.406408e+00,2,2.018506e+00,1.355167e-01,1.355167e-01,1,1.000000e+00,1.954342e-05,1.954342e-04,9.771709e-05,9.883868e-18,4.887497e-21,9.656047e+08,0.000000e+00,0.000000e+00,249,0
1.406408e+00,3,2.403594e+00,5.879360e-01,5.879360e-01,1,1.000000e+00,9.720228e-06,9.720228e-05,4.860114e-05,5.162323e-18,4.887497e-21,4.571269e+08,0.000000e+00,0.000000e+00,249,0
1.507988e+00,1,2.355249e+00,5.563901e-01,5.563901e-01,1,1.000000e+00,1.054323e-05,1.054323e-04,5.271616e-05,5.557902e-18,4.887497e-21,4.995683e+08,0.000000e+00,0.000000e+00,311,0
1.507988e+00,2,2.019074e+00,1.375620e-01,1.375620e-01,1,1.000000e+00,1.952146e-05,1.952146e-04,9.760731e-05,9.873315e-18,4.887497e-21,9.644657e+08,0.000000e+00,0.000000e+00,311,0
1.507988e+00,3,2.430186e+00,6.041552e-01,6.041552e-01,1,1.000000e+00,9.301714e-06,9.301714e-05,4.650857e-05,4.961163e-18,4.887497e-21,4.355669e+08,0.000000e+00,0.000000e+00,311,0
1.609569e+00,1,2.329897e+00,5.386403e-01,5.386403e-01,1,1.000000e+00,1.100966e-05,1.100966e-04,5.504831e-05,5.782093e-18,4.887497e-21,5.236438e+08,0.000000e+00,0.000000e+00,373,0
1.609569e+00,2,2.023412e+00,1.522696e-01,1.522696e-01,1,1.000000e+00,1.935457e-05,1.935457e-04,9.677286e-05,9.793099e-18,4.887497e-21,9.558072e+08,0.000000e+00,0.000000e+00,373,0
1.609569e+00,3,2.438623e+00,6.091496e-01,6.091496e-01,1,1.000000e+00,9.173651e-06,9.173651e-05,4.586826e-05,4.899609e-18,4.887497e-21,4.289731e+08,0.000000e+00,0.000000e+00,373,0
1.711150e+00,1,2.305386e+00,5.205741e-01,5.205741e-01,1,1.000000e+00,1.148541e-05,1.148541e-04,5.742706e-05,6.010763e-18,4.887497e-21,5.482145e+08,0.000000e+00,0.000000e+00,435,0
1.711150e+00,2,2.029013e+00,1.693126e-01,1.693126e-01,1,1.000000e+00,1.914174e-05,1.914174e-04,9.570872e-05,9.690803e-18,4.887497e-21,9.447661e+08,0.000000e+00,0.000000e+00,435,0
1.711150e+00,3,2.448085e+00,6.146679e-01,6.146679e-01,1,1.000000e+00,9.032643e-06,9.032643e-05,4.516321e-05,4.831833e-18,4.887497e-21,4.217147e+08,0.000000e+00,0.000000e+00,435,0
1.812731e+00,1,2.286828e+00,5.062396e-01,5.062396e-01,1,1.000000e+00,1.186280e-05,1.186280e-04,5.931402e-05,6.192159e-18,4.887497e-21,5.677146e+08,0.000000e+00,0.000000e+00,497,0
1.812731e+00,2,2.034018e+00,1.831474e-01,1.831474e-01,1,1.000000e+00,1.895403e-05,1.895403e-04,9.477016e-05,9.600578e-18,4.887497e-21,9.350284e+08,0.000000e+00,0.000000e+00,497,0
1.812731e+00,3,2.460319e+00,6.216772e-01,6.216772e-01,1,1.000000e+00,8.854326e-06,8.854326e-05,4.427163e-05,4.746124e-18,4.887497e-21,4.125389e+08,0.000000e+00,0.000000e+00,497,0
