time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,3.065100e+00,8.599079e-01,8.599079e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,1,1
1.000084e+00,2,2.382213e+00,5.743315e-01,5.743315e-01,1,1.000000e+00,2.152958e-05,2.152958e-04,1.076479e-04,1.083852e-17,4.887497e-21,1.068674e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.086574e+00,2.890717e-01,2.890717e-01,1,1.000000e+00,3.657820e-05,3.657820e-04,1.828910e-04,1.807169e-17,4.887497e-21,1.850412e+09,0.000000e+00,0.000000e+00,1,0
1.102484e+00,1,3.177654e+00,8.900216e-01,8.900216e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,26,26
1.102484e+00,2,2.411546e+00,5.928644e-01,5.928644e-01,1,1.000000e+00,2.050103e-05,2.050103e-04,1.025052e-04,1.034415e-17,4.887497e-21,1.015293e+09,0.000000e+00,0.000000e+00,26,0
1.102484e+00,3,2.053454e+00,2.286695e-01,2.286695e-01,1,1.000000e+00,3.899581e-05,3.899581e-04,1.949790e-04,1.923372e-17,4.887497e-21,1.976070e+09,0.000000e+00,0.000000e+00,26,0
1.204884e+00,1,3.314947e+00,9.231288e-01,9.231288e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,51,51
1.204884e+00,2,2.478893e+00,6.320608e-01,6.320608e-01,1,1.000000e+00,1.836227e-05,1.836227e-04,9.181136e-05,9.316147e-18,4.887497e-21,9.043337e+08,0.000000e+00,0.000000e+00,51,0
1.204884e+00,3,2.065986e+00,2.534187e-01,2.534187e-01,1,1.000000e+00,3.805822e-05,3.805822e-04,1.902911e-04,1.878306e-17,4.887497e-21,1.927337e+09,0.000000e+00,0.000000e+00,51,0
1.307284e+00,1,3.375745e+00,9.366849e-01,9.366849e-01,0,1.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.902661e-19,4.887497e-21,0.000000e+00,5.000000e-01,1.000000e+00,76,76
1.307284e+00,2,2.454679e+00,6.184632e-01,6.184632e-01,1,1.000000e+00,1.909760e-05,1.909760e-04,9.548798e-05,9.669583e-18,4.887497e-21,9.424758e+08,0.000000e+00,0.000000e+00,76,0
