run_id,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,seed,run_number,status,return_code,matched_application_flows,elapsed_seconds,source_directory
load2p0_speed0p5_fov40p0_seed1,2.0,0.5,40.0,1,1,PASS,0,9,2.077366,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov40p0_seed1
load2p0_speed0p5_fov40p0_seed2,2.0,0.5,40.0,2,1,PASS,0,9,2.175733,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov40p0_seed2
load2p0_speed0p5_fov40p0_seed3,2.0,0.5,40.0,3,1,PASS,0,9,2.045479,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov40p0_seed3
load2p0_speed0p5_fov70p0_seed1,2.0,0.5,70.0,1,1,PASS,0,9,2.063237,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov70p0_seed1
load2p0_speed0p5_fov70p0_seed2,2.0,0.5,70.0,2,1,PASS,0,9,2.147280,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov70p0_seed2
load2p0_speed0p5_fov70p0_seed3,2.0,0.5,70.0,3,1,PASS,0,9,2.068179,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed0p5_fov70p0_seed3
load2p0_speed3p0_fov40p0_seed1,2.0,3.0,40.0,1,1,PASS,0,9,2.076758,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov40p0_seed1
load2p0_speed3p0_fov40p0_seed2,2.0,3.0,40.0,2,1,PASS,0,9,2.121228,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov40p0_seed2
load2p0_speed3p0_fov40p0_seed3,2.0,3.0,40.0,3,1,PASS,0,9,2.047692,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov40p0_seed3
load2p0_speed3p0_fov70p0_seed1,2.0,3.0,70.0,1,1,PASS,0,9,2.069795,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov70p0_seed1
load2p0_speed3p0_fov70p0_seed2,2.0,3.0,70.0,2,1,PASS,0,9,2.121553,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov70p0_seed2
load2p0_speed3p0_fov70p0_seed3,2.0,3.0,70.0,3,1,PASS,0,9,2.109706,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load2p0_speed3p0_fov70p0_seed3
load5p0_speed0p5_fov40p0_seed1,5.0,0.5,40.0,1,1,PASS,0,9,3.262066,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov40p0_seed1
load5p0_speed0p5_fov40p0_seed2,5.0,0.5,40.0,2,1,PASS,0,9,3.519762,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov40p0_seed2
load5p0_speed0p5_fov40p0_seed3,5.0,0.5,40.0,3,1,PASS,0,9,3.303286,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov40p0_seed3
load5p0_speed0p5_fov70p0_seed1,5.0,0.5,70.0,1,1,PASS,0,9,3.302500,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov70p0_seed1
load5p0_speed0p5_fov70p0_seed2,5.0,0.5,70.0,2,1,PASS,0,9,3.435908,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov70p0_seed2
load5p0_speed0p5_fov70p0_seed3,5.0,0.5,70.0,3,1,PASS,0,9,3.252067,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed0p5_fov70p0_seed3
load5p0_speed3p0_fov40p0_seed1,5.0,3.0,40.0,1,1,PASS,0,9,3.255663,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov40p0_seed1
load5p0_speed3p0_fov40p0_seed2,5.0,3.0,40.0,2,1,PASS,0,9,3.427932,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov40p0_seed2
load5p0_speed3p0_fov40p0_seed3,5.0,3.0,40.0,3,1,PASS,0,9,3.273543,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov40p0_seed3
load5p0_speed3p0_fov70p0_seed1,5.0,3.0,70.0,1,1,PASS,0,9,3.283145,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov70p0_seed1
load5p0_speed3p0_fov70p0_seed2,5.0,3.0,70.0,2,1,PASS,0,9,3.495518,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov70p0_seed2
load5p0_speed3p0_fov70p0_seed3,5.0,3.0,70.0,3,1,PASS,0,9,3.309547,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load5p0_speed3p0_fov70p0_seed3
load10p0_speed0p5_fov40p0_seed1,10.0,0.5,40.0,1,1,PASS,0,9,5.419066,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov40p0_seed1
load10p0_speed0p5_fov40p0_seed2,10.0,0.5,40.0,2,1,PASS,0,9,5.712807,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov40p0_seed2
load10p0_speed0p5_fov40p0_seed3,10.0,0.5,40.0,3,1,PASS,0,9,5.335031,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov40p0_seed3
load10p0_speed0p5_fov70p0_seed1,10.0,0.5,70.0,1,1,PASS,0,9,5.395499,/home/ubuntu/Desktop/LLM Driven wireless environment generation/W4C_THREE_RAT_SWEEP/runs/load10p0_speed0p5_fov70p0_seed1
