run_id,seed,offered_load_mbps,mobility_speed_mps,lifi_fov_deg,CPE,optical_state_rows,in_fov_fraction,zero_gain_fraction,distance_mean,distance_min,distance_max,H_LOS_mean,received_power_mean,SNR_mean,SNR_min,BER_mean,PER_mean
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,1,85,0.9411764705882353,0.058823529411764705,2.480783505882353,2.366109,2.642691,1.7609985529411765e-05,0.00017609985529411766,868168718.8235294,0.0,0.029411764705882353,0.058823529411764705
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,2,85,1,0,2.1384447294117646,2.01436,2.292943,3.355197835294117e-05,0.00033551978352941176,1693168000.0,1253180000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed1,1,10.0,0.5,40.0,3,85,1,0,2.2353246588235294,2.155981,2.308727,2.7853080352941175e-05,0.00027853080352941177,1397048247.0588236,1217923000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,1,85,1,0,2.1553616823529413,2.049448,2.251998,3.225647364705882e-05,0.00032256473647058825,1625828717.6470587,1350538000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,2,85,1,0,2.131368282352941,2.002156,2.360847,3.477208047058823e-05,0.00034772080470588237,1756629376.4705882,1109681000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed2,2,10.0,0.5,40.0,3,85,1,0,2.049521705882353,2.0021,2.193187,3.949608094117647e-05,0.0003949608094117647,2002084000.0,1506902000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,1,85,0.5058823529411764,0.49411764705882355,2.6113831411764705,2.269997,2.909931,9.61496705882353e-06,9.61496705882353e-05,474415087.0588235,0.0,0.24705882352941178,0.49411764705882355
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,2,85,1,0,2.0156578,2.000005,2.066596,4.203243494117647e-05,0.0004203243494117647,2133916647.0588236,1925000000.0,0.0,0.0
load10p0_speed0p5_fov40p0_seed3,3,10.0,0.5,40.0,3,85,1,0,2.2273768117647057,2.121675,2.329856,2.830312082352941e-05,0.00028303120823529413,1420431388.235294,1172577000.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed1,1,10.0,0.5,70.0,1,85,1,0,2.480783505882353,2.366109,2.642691,8.638908858823529e-06,8.638908858823529e-05,401521875.2941176,299578000.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed1,1,10.0,0.5,70.0,2,85,1,0,2.1384447294117646,2.01436,2.292943,1.569934411764706e-05,0.0001569934411764706,766336575.2941177,561200900.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed1,1,10.0,0.5,70.0,3,85,1,0,2.2353246588235294,2.155981,2.308727,1.3032765764705882e-05,0.00013032765764705881,628226945.882353,544787600.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed2,2,10.0,0.5,70.0,1,85,1,0,2.1553616823529413,2.049448,2.251998,1.5093162588235294e-05,0.00015093162588235295,734895134.117647,606544300.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed2,2,10.0,0.5,70.0,2,85,1,0,2.131368282352941,2.002156,2.360847,1.627024329411765e-05,0.00016270243294117648,796027578.8235294,494426500.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed2,2,10.0,0.5,70.0,3,85,1,0,2.049521705882353,2.0021,2.193187,1.8480655176470588e-05,0.00018480655176470587,910494947.0588236,679419800.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed3,3,10.0,0.5,70.0,1,85,1,0,2.6113831411764705,2.269997,2.909931,7.286715811764706e-06,7.286715811764706e-05,332413847.0588235,191696800.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed3,3,10.0,0.5,70.0,2,85,1,0,2.0156578,2.000005,2.066596,1.9667443647058824e-05,0.00019667443647058822,972042208.2352941,874490500.0,0.0,0.0
load10p0_speed0p5_fov70p0_seed3,3,10.0,0.5,70.0,3,85,1,0,2.2273768117647057,2.121675,2.329856,1.3243344352941176e-05,0.00013243344352941176,639131014.117647,523684200.0,0.0,0.0
load10p0_speed3p0_fov40p0_seed1,1,10.0,3.0,40.0,1,85,0,1,4.423725411764706,3.358695,5.771861,0.0,0.0,0.0,0.0,0.5,1.0
load10p0_speed3p0_fov40p0_seed1,1,10.0,3.0,40.0,2,85,0.03529411764705882,0.9647058823529412,4.8339835176470585,2.464816,7.01948,6.16869294117647e-07,6.1686929411764705e-06,30299380.0,0.0,0.4823529411764706,0.9647058823529412
load10p0_speed3p0_fov40p0_seed1,1,10.0,3.0,40.0,3,85,0.8235294117647058,0.17647058823529413,2.4242432470588233,2.034744,3.421149,2.0313509764705884e-05,0.00020313509764705883,1014330492.9411764,0.0,0.08823529411764706,0.17647058823529413
load10p0_speed3p0_fov40p0_seed2,2,10.0,3.0,40.0,1,85,0.15294117647058825,0.8470588235294118,3.8508664588235293,2.149782,5.279214,3.5008969411764705e-06,3.50089694117647e-05,174263115.29411766,0.0,0.4235294117647059,0.8470588235294118
load10p0_speed3p0_fov40p0_seed2,2,10.0,3.0,40.0,2,85,0.25882352941176473,0.7411764705882353,4.458601223529412,2.07619,7.787787,6.310526588235294e-06,6.310526588235295e-05,314956847.0588235,0.0,0.37058823529411766,0.7411764705882353
load10p0_speed3p0_fov40p0_seed2,2,10.0,3.0,40.0,3,85,0.2235294117647059,0.7764705882352941,4.292857352941176,2.053626,8.173962,7.033610352941177e-06,7.033610352941177e-05,354258203.5294118,0.0,0.38823529411764707,0.7764705882352941
load10p0_speed3p0_fov40p0_seed3,3,10.0,3.0,40.0,1,85,0,1,6.183685247058824,3.174576,9.034698,0.0,0.0,0.0,0.0,0.5,1.0
load10p0_speed3p0_fov40p0_seed3,3,10.0,3.0,40.0,2,85,0.7529411764705882,0.24705882352941178,2.4655049529411763,2.000169,3.708032,2.140144894117647e-05,0.0002140144894117647,1074341968.235294,0.0,0.12352941176470589,0.24705882352941178
load10p0_speed3p0_fov40p0_seed3,3,10.0,3.0,40.0,3,85,0.5058823529411764,0.49411764705882355,2.802029729411765,2.058828,4.690253,1.253402105882353e-05,0.0001253402105882353,625975325.882353,0.0,0.24705882352941178,0.49411764705882355
load10p0_speed3p0_fov70p0_seed1,1,10.0,3.0,70.0,1,85,1,0,4.423725411764706,3.358695,5.771861,1.003674e-06,1.003674e-05,27304800.09411765,3360717.0,0.0,0.0
load10p0_speed3p0_fov70p0_seed1,1,10.0,3.0,70.0,2,85,0.8235294117647058,0.17647058823529413,4.8339835176470585,2.464816,7.01948,1.3058617411764705e-06,1.3058617411764705e-05,47498472.23529412,0.0,0.08823529411764706,0.17647058823529413
load10p0_speed3p0_fov70p0_seed1,1,10.0,3.0,70.0,3,85,1,0,2.4242432470588233,2.034744,3.421149,1.0419547058823529e-05,0.00010419547058823529,493911917.64705884,85840800.0,0.0,0.0
load10p0_speed3p0_fov70p0_seed2,2,10.0,3.0,70.0,1,85,1,0,3.8508664588235293,2.149782,5.279214,3.0187054835294118e-06,3.0187054835294116e-05,125486656.2,6267192.0,0.0,0.0
load10p0_speed3p0_fov70p0_seed2,2,10.0,3.0,70.0,2,85,0.6352941176470588,0.36470588235294116,4.458601223529412,2.07619,7.787787,4.199552069411765e-06,4.1995520694117645e-05,191860133.0,0.0,0.18235294117647058,0.36470588235294116
load10p0_speed3p0_fov70p0_seed2,2,10.0,3.0,70.0,3,85,0.7529411764705882,0.24705882352941178,4.292857352941176,2.053626,8.173962,4.385744016470588e-06,4.385744016470588e-05,200844557.32941177,0.0,0.12352941176470589,0.24705882352941178
load10p0_speed3p0_fov70p0_seed3,3,10.0,3.0,70.0,1,85,0.4235294117647059,0.5764705882352941,6.183685247058824,3.174576,9.034698,3.9776818352941176e-07,3.977681835294117e-06,11054021.48235294,0.0,0.28823529411764703,0.5764705882352941
load10p0_speed3p0_fov70p0_seed3,3,10.0,3.0,70.0,2,85,1,0,2.4655049529411763,2.000169,3.708032,1.1013301035294117e-05,0.00011013301035294117,525492106.2352941,55777170.0,0.0,0.0
load10p0_speed3p0_fov70p0_seed3,3,10.0,3.0,70.0,3,85,1,0,2.802029729411765,2.058828,4.690253,7.669116970588235e-06,7.669116970588235e-05,355024459.2941176,13746280.0,0.0,0.0
load20p0_speed0p5_fov40p0_seed1,1,20.0,0.5,40.0,1,85,0.9411764705882353,0.058823529411764705,2.481349270588235,2.371708,2.642218,1.7592282235294116e-05,0.00017592282235294118,867250215.2941177,0.0,0.029411764705882353,0.058823529411764705
load20p0_speed0p5_fov40p0_seed1,1,20.0,0.5,40.0,2,85,1,0,2.138261494117647,2.014514,2.289016,3.3564054117647056e-05,0.0003356405411764706,1693795611.764706,1262142000.0,0.0,0.0
load20p0_speed0p5_fov40p0_seed1,1,20.0,0.5,40.0,3,85,1,0,2.235378070588235,2.155699,2.308037,2.7850623764705882e-05,0.0002785062376470588,1396920552.9411764,1219438000.0,0.0,0.0
load20p0_speed0p5_fov40p0_seed2,2,20.0,0.5,40.0,1,85,1,0,2.154914682352941,2.049289,2.245096,3.2280412352941176e-05,0.00032280412352941174,1627072376.4705882,1367838000.0,0.0,0.0
load20p0_speed0p5_fov40p0_seed2,2,20.0,0.5,40.0,2,85,1,0,2.130488882352941,2.002135,2.359862,3.482002870588235e-05,0.00034820028705882355,1759120411.764706,1111617000.0,0.0,0.0
load20p0_speed0p5_fov40p0_seed2,2,20.0,0.5,40.0,3,85,1,0,2.049392211764706,2.002097,2.193187,3.950682470588235e-05,0.00039506824705882353,2002642494.1176472,1506902000.0,0.0,0.0
