time_s,cpe_id,distance_m,irradiance_angle_rad,incidence_angle_rad,in_fov,lambertian_order,h_los,received_optical_power_w,signal_current_a,shot_variance_a2,thermal_variance_a2,snr,ber,per,packet_count,corrupted_packets
1.000084e+00,1,2.338612e+00,5.448439e-01,5.448439e-01,1,1.000000e+00,2.318062e-05,2.318062e-04,1.159031e-04,1.163210e-17,4.887497e-21,1.154382e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,2,2.013213e+00,1.146335e-01,1.146335e-01,1,1.000000e+00,4.220837e-05,4.220837e-04,2.110419e-04,2.077785e-17,4.887497e-21,2.143061e+09,0.000000e+00,0.000000e+00,1,0
1.000084e+00,3,2.342561e+00,5.476193e-01,5.476193e-01,1,1.000000e+00,2.302470e-05,2.302470e-04,1.151235e-04,1.155716e-17,4.887497e-21,1.146287e+09,0.000000e+00,0.000000e+00,1,0
1.101665e+00,1,2.334324e+00,5.418051e-01,5.418051e-01,1,1.000000e+00,2.335142e-05,2.335142e-04,1.167571e-04,1.171420e-17,4.887497e-21,1.163250e+09,0.000000e+00,0.000000e+00,63,0
1.101665e+00,2,2.015227e+00,1.230084e-01,1.230084e-01,1,1.000000e+00,4.203990e-05,4.203990e-04,2.101995e-04,2.069687e-17,4.887497e-21,2.134303e+09,0.000000e+00,0.000000e+00,63,0
1.101665e+00,3,2.349526e+00,5.524613e-01,5.524613e-01,1,1.000000e+00,2.275288e-05,2.275288e-04,1.137644e-04,1.142651e-17,4.887497e-21,1.132175e+09,0.000000e+00,0.000000e+00,63,0
1.203246e+00,1,2.331134e+00,5.395278e-01,5.395278e-01,1,1.000000e+00,2.347947e-05,2.347947e-04,1.173974e-04,1.177575e-17,4.887497e-21,1.169898e+09,0.000000e+00,0.000000e+00,125,0
1.203246e+00,2,2.018517e+00,1.355566e-01,1.355566e-01,1,1.000000e+00,4.176646e-05,4.176646e-04,2.088323e-04,2.056544e-17,4.887497e-21,2.120089e+09,0.000000e+00,0.000000e+00,125,0
1.203246e+00,3,2.357565e+00,5.579678e-01,5.579678e-01,1,1.000000e+00,2.244413e-05,2.244413e-04,1.122206e-04,1.127810e-17,4.887497e-21,1.116147e+09,0.000000e+00,0.000000e+00,125,0
1.304827e+00,1,2.335466e+00,5.426170e-01,5.426170e-01,1,1.000000e+00,2.330578e-05,2.330578e-04,1.165289e-04,1.169226e-17,4.887497e-21,1.160880e+09,0.000000e+00,0.000000e+00,187,0
1.304827e+00,2,2.019430e+00,1.388311e-01,1.388311e-01,1,1.000000e+00,4.169100e-05,4.169100e-04,2.084550e-04,2.052917e-17,4.887497e-21,2.116167e+09,0.000000e+00,0.000000e+00,187,0
1.304827e+00,3,2.376127e+00,5.703615e-01,5.703615e-01,1,1.000000e+00,2.175099e-05,2.175099e-04,1.087549e-04,1.094494e-17,4.887497e-21,1.080166e+09,0.000000e+00,0.000000e+00,187,0
1.406408e+00,1,2.346337e+00,5.502524e-01,5.502524e-01,1,1.000000e+00,2.287685e-05,2.287685e-04,1.143843e-04,1.148609e-17,4.887497e-21,1.138611e+09,0.000000e+00,0.000000e+00,249,0
1.406408e+00,2,2.018506e+00,1.355167e-01,1.355167e-01,1,1.000000e+00,4.176737e-05,4.176737e-04,2.088369e-04,2.056588e-17,4.887497e-21,2.120137e+09,0.000000e+00,0.000000e+00,249,0
